,counts,id
番茄,375,432
整体,375,433
还要,373,434
棒棒,373,435
也好,371,436
难吃,370,437
并,370,438
清淡,366,439
抹,365,440
一杯,364,441
过去,364,442
炸,363,443
新,361,444
开心,359,445
鲜美,359,446
),359,447
(,358,448
6,357,449
拌,357,450
看着,355,451
空调,353,452
尤其,353,453
^,352,454
很快,351,455
大概,350,456
算是,350,457
风格,348,458
桌子,347,459
一碗,346,460
惊艳,346,461
份,346,462
满足,346,463
配菜,345,464
公司,343,465
”,343,466
“,342,467
位子,342,468
奶油,342,469
饼,339,470
机会,338,471
估计,337,472
!,336,473
聚餐,336,474
沙拉,336,475
不到,335,476
馄饨,334,477
终于,334,478
于是,332,479
没想到,329,480
8,329,481
糯,329,482
嘛,328,483
可是,328,484
点菜,328,485
调料,328,486
别的,327,487
尝尝,327,488
打,325,489
分钟,325,490
下午茶,324,491
搭配,323,492
下午,323,493
可爱,322,494
干,320,495
多次,318,496
牛舌,317,497
提前,317,498
路,315,499
煮,312,500
而,312,501
丰富,311,502
用餐,311,503
冰,311,504
样子,310,505
反正,309,506
入口,309,507
冰激凌,309,508
体验,308,509
座位,308,510
炒饭,308,511
烤鱼,307,512
鹅,307,513
慢,306,514
油,306,515
料,305,516
汉堡,304,517
总之,304,518
普通,303,519
工作日,302,520
稍微,301,521
竟然,301,522
嚼,298,523
鸡翅,298,524
虾仁,297,525
够,297,526
后面,297,527
时,296,528
出,294,529
蘸,294,530
好好,293,531
下去,291,532
还会来,290,533
下来,289,534
排,288,535
腻,287,536
以为,287,537
炸鸡,287,538
夏天,287,539
精致,285,540
饱,283,541
宝宝,283,542
肝,282,543
很少,282,544
主食,281,545
对于,280,546
排骨,280,547
左右,279,548
可,279,549
券,279,550
酱料,279,551
卷,279,552
小朋友,278,553
名字,278,554
问题,278,555
米饭,277,556
包,277,557
唯一,277,558
劲,277,559
很小,276,560
皮,276,561
猪排,275,562
当然,275,563
些,275,564
它,272,565
100,272,566
小菜,271,567
停车,271,568
简直,271,569
地,271,570
日料,271,571
是不是,270,572
土豆,270,573
印象,270,574
这边,268,575
楼,267,576
烧,266,577
小贵,266,578
中规中矩,265,579
香味,265,580
不太,265,581
饭店,265,582
广场,265,583
更好,265,584
品质,264,585
韩国,264,586
前,264,587
折,264,588
刚,263,589
却,263,590
种类,262,591
作为,262,592
+,262,593
你们,260,594
果然,259,595
为什么,259,596
面条,259,597
酸,258,598
一块,258,599
汁,258,600
真,258,601
继续,257,602
:,257,603
拉面,257,604
水,257,605
下面,256,606
